datetime,title,tag,url
2023-11-09 13:23:15.000,Israeli soldiers take reporters inside Gaza's devastation as civilians flee south,world,https://www.theglobeandmail.com/world/video-israeli-soldiers-take-reporters-inside-gazas-devastation-as-civilians/
2023-11-09 11:26:17.949,"Supports for Gaza evacuees to be determined based on need, immigration minister says",canada,https://www.theglobeandmail.com/canada/article-supports-for-gaza-evacuees-to-be-determined-based-on-need-immigration/
2023-11-09 10:03:23.515,"Israel agrees to pauses in Gaza attacks, U.S. says, but no reports of lull in fighting ",world,https://www.theglobeandmail.com/world/article-israel-hamas-gaza-war-ceasefire-evacuations/
2023-11-09 00:19:09.246,"For Canadians who fled Gaza, a mix of relief and survivor’s guilt ",canada,https://www.theglobeandmail.com/canada/article-for-canadians-who-fled-gaza-a-mix-of-relief-and-survivors-guilt/
2023-11-08 23:45:51.671,The Israel-Hamas war is the latest in a century of conflict ,canada,https://www.theglobeandmail.com/canada/article-the-israel-hamas-war-is-the-latest-in-a-century-of-conflict/
2023-11-08 22:33:02.478,Evening Update: Thousands flee northern Gaza as Israel-Hamas war enters second month,canada,https://www.theglobeandmail.com/canada/article-evening-update-thousands-flee-northern-gaza-as-israel-hamas-war-enters/
2023-11-08 16:52:59.730,UN chief says Gaza deaths show something ‘wrong’ with Israel operation,world,https://www.theglobeandmail.com/world/article-un-chief-says-gaza-deaths-show-something-wrong-with-israel-operation/
2023-11-08 10:22:41.943,"Israel-Hamas fight intensifies in Gaza City, accelerating exodus of Palestinians to the south",world,https://www.theglobeandmail.com/world/article-israel-gaza-hamas-war/
2023-11-08 02:54:24.869,House nears vote on censuring Rashida Tlaib over her rhetoric about the Israel-Hamas war,world,https://www.theglobeandmail.com/world/article-house-nears-vote-on-censuring-rashida-tlaib-over-her-rhetoric-about/
2023-11-08 01:45:40.327,Biden under pressure for his stance on Israel-Gaza war as humanitarian crisis worsens,u.s. politics,https://www.theglobeandmail.com/world/us-politics/article-biden-under-pressure-for-his-stance-on-israel-gaza-war-as-humanitarian/
2023-11-07 21:22:21.205,"5 hostages of Hamas are free, offering some hope to families of more than 200 still captive",world,https://www.theglobeandmail.com/world/article-5-hostages-of-hamas-are-free-offering-some-hope-to-families-of-more/
2023-11-07 19:05:36.669,"Jewish man dies after confrontation during pro-Israel, pro-Palestinian demonstrations in California ",world,https://www.theglobeandmail.com/world/article-jewish-man-dies-after-confrontation-during-pro-israel-pro-palestinian/
2023-11-07 17:32:05.167,Montreal police investigating two firebombings at Jewish institutions,canada,https://www.theglobeandmail.com/canada/article-montreal-police-investigating-two-firebombings-at-jewish-institutions/
2023-11-07 17:24:04.322,"U.S. envoy flies to Beirut in surprise visit, says Washington doesn’t want Gaza war to expand",world,https://www.theglobeandmail.com/world/article-us-envoy-flies-to-beirut-in-a-surprise-visit-says-washington-doesnt/
2023-11-07 15:59:17.260,First group of Canadians departs Gaza as Israel ramps up offensive,politics,https://www.theglobeandmail.com/politics/article-israel-canadians-evacuate-gaza/
2023-11-07 11:58:48.616,Israel targets Hamas tunnels after encircling Gaza City,world,https://www.theglobeandmail.com/world/article-israel-readies-for-gaza-city-push-as-un-decries-month-of-middle-east/
2023-11-07 10:57:14.219,Blinken seeks Israel-Hamas war unity as G7 meets in Japan ,world,https://www.theglobeandmail.com/world/article-israel-gaza-hamas-war-g7-blinken-japan/
2023-11-07 02:16:58.986,"Israel says it is open to ‘tactical little pauses’ in Gaza fighting for aid, hostages",world,https://www.theglobeandmail.com/world/article-israel-says-it-is-open-to-gaza-fighting-pauses-for-aid-hostages/
2023-11-07 02:05:13.696,Ottawa under pressure to publish online safety bill to tackle rising antisemitism,politics,https://www.theglobeandmail.com/politics/article-ottawa-under-pressure-to-publish-online-safety-bill-to-tackle-rising/
2023-11-06 21:10:15.357,Rashida Tlaib defends pro-Palestinian video as rift among Michigan Democrats widens over war,world,https://www.theglobeandmail.com/world/article-rashida-tlaib-defends-pro-palestinian-video-as-rift-among-michigan/
2023-11-06 20:59:18.318,Jordan says its open to ‘all options’ as Gaza conflict intensifies,world,https://www.theglobeandmail.com/world/article-jordan-says-its-open-to-all-options-as-gaza-conflict-intensifies/
2023-11-06 18:27:50.770,"A month on, Israeli father agonizes over his family’s fate in Gaza",world,https://www.theglobeandmail.com/world/article-a-month-on-israeli-father-agonizes-over-his-familys-fate-in-gaza/
2023-11-06 17:07:45.128,South Africa becomes latest country to withdraw diplomats from Israel,world,https://www.theglobeandmail.com/world/article-south-africa-becomes-latest-country-to-withdraw-diplomats-from-israel/
2023-11-06 15:03:21.000,Israeli festival survivor returns to caravan where she hid for hours,world,https://www.theglobeandmail.com/world/video-israeli-festival-survivor-returns-to-caravan-where-she-hid-for-hours/
2023-11-06 14:49:24.811,Vancouver man’s family in Gaza ponders whether to stay together so they die together,canada,https://www.theglobeandmail.com/canada/article-vancouver-mans-family-in-gaza-ponders-whether-to-stay-together-so-they/
2023-11-06 11:00:00.000,‘A place to be that’s ours’: Jews around the world consider move to Israel after Hamas attack,world,https://www.theglobeandmail.com/world/article-jewish-immigrants-moving-to-israel/
2023-11-06 03:23:55.931,"UN leaders say Gaza war must ‘stop now’ as reported death toll tops 10,000",world,https://www.theglobeandmail.com/world/article-pressure-on-israel-over-civilians-steps-up-as-ceasefire-calls-rebuffed/
2023-11-06 03:00:20.225,Canadians in Gaza left in limbo after Rafah border crossing closed again,politics,https://www.theglobeandmail.com/politics/article-canadians-in-gaza-left-in-limbo-after-rafah-border-crossing-closed/
2023-11-05 18:41:21.743,"A woman and 3 children are killed by an Israeli airstrike in south Lebanon, local officials say",world,https://www.theglobeandmail.com/world/article-a-woman-and-3-children-are-killed-by-an-israeli-airstrike-in-south/
2023-11-05 12:52:41.356,Netanyahu disciplines Israeli minister who voiced openness to hypothetical nuclear option in Gaza,world,https://www.theglobeandmail.com/world/article-netanyahu-disciplines-israeli-minister-who-voiced-openness-to/
2023-11-05 12:17:17.374,Gaza has lost telecom contact again as Israel’s military announces it has surrounded Gaza City,world,https://www.theglobeandmail.com/world/article-warplanes-strike-gaza-refugee-camp-as-israel-rejects-us-push-for-a/
